scenario,p,severity,log_return,S_T
Aggressive tariffs / restrictions,0.2,2,-0.03508355847023331,386.58646283691564
No new measures,0.45,0,0.015163359821169248,406.5075363859336
Aggressive tariffs / restrictions,0.2,2,0.1858947658531525,482.1879011730807
Mild tariffs / tighter language,0.3,1,0.04617976291612022,419.31350898560555
No new measures,0.45,0,-0.08171279452980675,368.9740491865903
Aggressive + retaliation,0.05,3,0.031390848495127896,413.157946619043
Aggressive tariffs / restrictions,0.2,2,0.03460729445519127,414.48898628837236
Aggressive tariffs / restrictions,0.2,2,-0.04128214834509594,384.19758339347277
No new measures,0.45,0,0.05934670312214595,424.8710927805779
Mild tariffs / tighter language,0.3,1,-0.11119873697211183,358.25333353506903
No new measures,0.45,0,0.028306828509605454,411.88572204586023
Aggressive tariffs / restrictions,0.2,2,0.08716684267970978,436.8570178879049
Mild tariffs / tighter language,0.3,1,0.2077896410907201,492.86177022106494
Aggressive tariffs / restrictions,0.2,2,-0.16607444590712706,339.1236068106927
No new measures,0.45,0,-0.013493053662471862,395.023815317692
No new measures,0.45,0,0.06843602607751968,428.75048718332874
Mild tariffs / tighter language,0.3,1,0.12212708715754479,452.3997519062655
No new measures,0.45,0,-0.18479747189333065,332.8332576498846
Aggressive tariffs / restrictions,0.2,2,-0.05074157062702095,380.5804312692188
Mild tariffs / tighter language,0.3,1,0.008985527585554662,404.00394237810605
Aggressive tariffs / restrictions,0.2,2,-0.26142008149627816,308.2832573911054
No new measures,0.45,0,-0.04810529929478073,381.58506821573013
Aggressive + retaliation,0.05,3,-0.38033857784461156,273.7185889115424
Aggressive tariffs / restrictions,0.2,2,0.09585004549315701,440.66685282160955
Aggressive tariffs / restrictions,0.2,2,0.1724058711494012,475.727389882357
No new measures,0.45,0,-0.08443394657116976,367.9713795264355
Mild tariffs / tighter language,0.3,1,0.07352417559582464,430.93759321085855
No new measures,0.45,0,-0.07327454816324064,372.10071635786585
No new measures,0.45,0,-0.006548512137117659,397.77662203373177
Mild tariffs / tighter language,0.3,1,0.11071818033999802,447.26769653019215
Mild tariffs / tighter language,0.3,1,-0.06383106625162722,375.6312869440301
Aggressive + retaliation,0.05,3,0.1713519056744816,475.22625377441574
No new measures,0.45,0,-0.08780084727559409,366.7345397562499
No new measures,0.45,0,0.19022593295518783,484.2808667676766
Mild tariffs / tighter language,0.3,1,-0.02623899058139197,390.02081835960007
No new measures,0.45,0,0.05854127827682472,424.52902881829226
No new measures,0.45,0,-0.07537221317643199,371.3209917901632
Mild tariffs / tighter language,0.3,1,0.13904037720838505,460.1163930737373
No new measures,0.45,0,-0.17704707865142122,335.4228685692969
Mild tariffs / tighter language,0.3,1,0.14737945243730238,463.96938114021214
No new measures,0.45,0,-0.05270346667819089,379.83450397912003
Aggressive tariffs / restrictions,0.2,2,0.04784789418219909,420.0135626886343
Mild tariffs / tighter language,0.3,1,-0.09946630006455356,362.48127167856114
No new measures,0.45,0,-0.025434375590253792,390.33476124154544
Aggressive tariffs / restrictions,0.2,2,0.007684490759831353,403.4786601511907
Aggressive tariffs / restrictions,0.2,2,-0.08148570430206872,369.0578491021604
No new measures,0.45,0,-0.05823901499305282,377.7377205079826
No new measures,0.45,0,0.28324471843870835,531.489704597293
Mild tariffs / tighter language,0.3,1,0.29609977838246937,538.3661404112155
No new measures,0.45,0,-0.1677791301670082,338.5460005939959
No new measures,0.45,0,0.01548471061908422,406.63818889863
No new measures,0.45,0,-0.003964033636168355,398.8059967870397
Aggressive tariffs / restrictions,0.2,2,0.38341343126157623,587.4860728506548
Mild tariffs / tighter language,0.3,1,-0.17444348128582057,336.29731252228487
Mild tariffs / tighter language,0.3,1,-0.2947522727491597,298.1768705994961
Aggressive tariffs / restrictions,0.2,2,-0.03632078975470021,386.1084617308783
Mild tariffs / tighter language,0.3,1,0.22214879703404988,499.98990375268045
Mild tariffs / tighter language,0.3,1,0.09397685068528085,439.84217059727246
No new measures,0.45,0,-0.016774529351454244,393.7296787712462
No new measures,0.45,0,-0.1984290424333932,328.32700107638806
Mild tariffs / tighter language,0.3,1,0.02390955393557141,410.07852371852937
Mild tariffs / tighter language,0.3,1,0.10447154351284989,444.4824858220238
Mild tariffs / tighter language,0.3,1,-0.08756860018721271,366.8197226766769
Aggressive tariffs / restrictions,0.2,2,-0.2990737495686365,296.89108640940077
Mild tariffs / tighter language,0.3,1,-0.22413953827428681,319.99314395235024
