scenario,p,severity,log_return,S_T,pnl_$
No new measures,0.45,0,0.0075115489378545,403.40888785002375,-577.0
No new measures,0.45,0,0.0923034648896857,439.10676044075535,-577.0
No new measures,0.45,0,-0.048847045087341,381.3021340424658,-207.21340424658092
Aggressive tariffs / restrictions,0.2,2,0.1887623739721352,483.5726115678521,-577.0
No new measures,0.45,0,0.2081185088585858,493.023883226714,-577.0
No new measures,0.45,0,0.0687375642799369,428.8797913286096,-577.0
Mild tariffs / tighter language,0.3,1,0.043721489793767,418.2839877972186,-577.0
No new measures,0.45,0,-0.1526527215717469,343.70591281204224,2923.0
Aggressive + retaliation,0.05,3,0.0893533963855068,437.8132742912725,-577.0
Mild tariffs / tighter language,0.3,1,0.2486105654622344,513.3971279020253,-577.0
No new measures,0.45,0,0.0742420625545443,431.24706875998606,-577.0
