scenario,p,severity,log_return,S_T,pnl_$
No new measures,0.45,0,-0.044591736024683,382.9281496148581,-369.8149614858114
No new measures,0.45,0,0.0492411712504863,420.599165812868,-577.0
No new measures,0.45,0,-0.0696406660791932,373.4553462765277,577.4653723472322
Mild tariffs / tighter language,0.3,1,0.0687754923855643,428.8960582351211,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0257255680437427,390.2211152519678,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.305678444309729,294.936672670002,2923.000000000001
Mild tariffs / tighter language,0.3,1,0.2409463776020521,509.47739583536287,-577.0
No new measures,0.45,0,0.0759173240526434,431.9701258561998,-577.0
No new measures,0.45,0,0.1126835712396208,448.1476168010507,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.246621104696696,312.8794598274377,2923.0000000000005
Mild tariffs / tighter language,0.3,1,-0.0858122850105246,367.4645398080269,1176.5460191973073
No new measures,0.45,0,-0.0867151801160539,367.132907610652,1209.7092389347988
Mild tariffs / tighter language,0.3,1,0.0514590627022648,421.5330443451407,-577.0
Mild tariffs / tighter language,0.3,1,-0.2605697025206243,308.54552648999584,2923.0
No new measures,0.45,0,-0.0230296910190617,391.2745226815725,-577.0
No new measures,0.45,0,-0.0101786054297424,396.3352734837658,-577.0
Mild tariffs / tighter language,0.3,1,-0.0333863829560365,387.2431249936081,-577.0
No new measures,0.45,0,0.0211119601864884,408.9328938546064,-577.0
No new measures,0.45,0,0.0269882457831316,411.3429745548604,-577.0
Aggressive tariffs / restrictions,0.2,2,0.2343214124151491,506.1132816982455,-577.0
Aggressive + retaliation,0.05,3,0.0531019066596612,422.22612651693294,-577.0
No new measures,0.45,0,0.1419792617917029,461.4706110182904,-577.0
No new measures,0.45,0,0.1499725490525784,465.1740598211069,-577.0
Mild tariffs / tighter language,0.3,1,-0.1351736338513139,349.7663901211595,2923.0
No new measures,0.45,0,-0.0422014813361723,383.844540186966,-461.45401869660145
Aggressive tariffs / restrictions,0.2,2,0.0345658039920098,414.4717893051055,-577.0
Mild tariffs / tighter language,0.3,1,0.1520342110696981,466.1340807909307,-577.0
No new measures,0.45,0,0.1190174485696929,450.9951372344633,-577.0
Aggressive tariffs / restrictions,0.2,2,0.1978995984683473,488.0113711692389,-577.0
No new measures,0.45,0,0.1924466808875869,485.35752755487744,-577.0
Mild tariffs / tighter language,0.3,1,0.1972537228655264,487.6962782970545,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.3194174757467732,290.9122376761933,2923.0
No new measures,0.45,0,0.1746717799114606,476.8065669400799,-577.0
No new measures,0.45,0,0.0666987676981518,428.00628343108514,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0083801547124516,397.0487042834221,-577.0
Mild tariffs / tighter language,0.3,1,-0.0003217533799679,400.261208530932,-577.0
No new measures,0.45,0,0.0388407822347822,416.2474399162605,-577.0
No new measures,0.45,0,-0.1061678819034671,360.0601953530141,1916.9804646985922
No new measures,0.45,0,0.0002847161004953,400.5040283620853,-577.0
Mild tariffs / tighter language,0.3,1,0.3294408001119046,556.6184013386143,-577.0
No new measures,0.45,0,-0.115877918532391,356.5809169646978,2264.908303530221
No new measures,0.45,0,0.1672112127145803,473.2625561112839,-577.0
No new measures,0.45,0,0.0163354708711894,406.9842877094134,-577.0
Mild tariffs / tighter language,0.3,1,-0.0742521405624887,371.7371312737631,749.2868726236889
Aggressive tariffs / restrictions,0.2,2,-0.2936116142547749,298.51718263278184,2923.0
Mild tariffs / tighter language,0.3,1,-0.1184665853209965,355.6590415164844,2357.095848351558
Mild tariffs / tighter language,0.3,1,-0.0350259225849969,386.6087447320338,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.368344008385081,277.02149440437665,2923.000000000001
No new measures,0.45,0,0.0353926557004213,414.8146377350525,-577.0
No new measures,0.45,0,-0.0216774971226378,391.8039595729654,-577.0
No new measures,0.45,0,-0.1068851324691102,359.80203456828355,1942.7965431716457
No new measures,0.45,0,0.1212581379210815,452.0068102351779,-577.0
Aggressive + retaliation,0.05,3,-0.2641824481345614,307.43284112727525,2923.0
No new measures,0.45,0,0.0986335199236061,441.8951464076394,-577.0
