S_T,target_payoff
240.2340087890625,1.0
241.52040241042295,1.0
242.8067960317834,1.0
244.09318965314384,1.0
245.37958327450426,1.0
246.6659768958647,1.0
247.95237051722515,1.0
249.2387641385856,1.0
250.52515775994604,1.0
251.8115513813065,1.0
253.0979450026669,1.0
254.38433862402735,1.0
255.6707322453878,1.0
256.95712586674824,1.0
258.2435194881087,1.0
259.52991310946913,1.0
260.8163067308296,1.0
262.10270035219,1.0
263.3890939735505,1.0
264.6754875949109,1.0
265.9618812162713,1.0
267.24827483763175,1.0
268.5346684589922,1.0
269.82106208035265,1.0
271.1074557017131,1.0
272.39384932307354,1.0
273.680242944434,1.0
274.96663656579443,1.0
276.2530301871549,1.0
277.5394238085153,1.0
278.82581742987577,1.0
280.1122110512362,1.0
281.39860467259666,1.0
282.68499829395705,1.0
283.9713919153175,1.0
285.25778553667794,1.0
286.5441791580384,1.0
287.83057277939884,1.0
289.1169664007593,1.0
290.4033600221197,1.0
291.6897536434802,1.0
292.9761472648406,1.0
294.26254088620107,1.0
295.5489345075615,1.0
296.8353281289219,1.0
298.1217217502824,1.0
299.4081153716428,1.0
300.69450899300324,1.0
301.9809026143637,1.0
303.26729623572413,1.0
304.5536898570846,1.0
305.840083478445,1.0
307.12647709980547,1.0
308.4128707211659,1.0
309.69926434252636,1.0
310.9856579638868,1.0
312.27205158524725,1.0
313.55844520660764,1.0
314.84483882796815,1.0
316.13123244932854,1.0
317.417626070689,1.0
318.7040196920494,1.0
319.9904133134099,1.0
321.2768069347703,1.0
322.56320055613077,1.0
323.8495941774912,1.0
325.13598779885166,1.0
326.4223814202121,1.0
327.70877504157255,1.0
328.995168662933,1.0
330.2815622842934,1.0
331.5679559056539,1.0
332.8543495270143,1.0
334.1407431483747,1.0
335.42713676973517,1.0
336.7135303910956,1.0
337.99992401245606,1.0
339.2863176338165,1.0
340.57271125517696,0.995983935742972
341.8591048765374,0.9745649263721553
343.14549849789785,0.9531459170013385
344.4318921192583,0.9317269076305219
345.71828574061874,0.9103078982597053
347.00467936197913,0.8888888888888895
348.29107298333963,0.8674698795180719
349.5774666047,0.8460508701472562
350.86386022606047,0.8246318607764395
352.1502538474209,0.8032128514056228
353.43664746878136,0.7817938420348062
354.7230410901418,0.7603748326639895
356.00943471150225,0.7389558232931728
357.2958283328627,0.7175368139223561
