scenario,p,severity,log_return,S_T
No new measures,0.45,0,0.2616041376557231,520.1115180365834
No new measures,0.45,0,0.030998517337114513,412.99588367665325
Aggressive tariffs / restrictions,0.2,2,0.13750802822839556,459.4118741104481
Aggressive tariffs / restrictions,0.2,2,-0.30390993634308894,295.458732022268
No new measures,0.45,0,0.2335943433499564,505.7454361284113
No new measures,0.45,0,0.0851455724699298,435.9749036076984
Aggressive tariffs / restrictions,0.2,2,-0.3976196002860729,269.02908822027143
No new measures,0.45,0,-0.07020831338899546,373.2434155105379
Aggressive tariffs / restrictions,0.2,2,-0.27654696727918704,303.6549856905822
No new measures,0.45,0,0.024268322180798246,410.225673265603
No new measures,0.45,0,0.10231239783129908,443.5238187056534
No new measures,0.45,0,0.11159487301634158,447.659984777096
Mild tariffs / tighter language,0.3,1,0.15985262689327054,469.79279490088174
No new measures,0.45,0,-0.04755399794056025,381.7954945794278
No new measures,0.45,0,-0.032728919735473566,387.49780681849967
Aggressive tariffs / restrictions,0.2,2,0.21608501870061153,496.9672494220486
No new measures,0.45,0,-0.030220134615523843,388.47117602681976
Mild tariffs / tighter language,0.3,1,-0.03376684951297365,387.0958199592407
No new measures,0.45,0,-0.013714493699919004,394.9363509136534
Mild tariffs / tighter language,0.3,1,-0.011031201167666174,395.99750372979196
No new measures,0.45,0,0.04664477773202972,419.50854132274355
Mild tariffs / tighter language,0.3,1,0.002566085119035722,401.4187688777858
Aggressive tariffs / restrictions,0.2,2,-0.6656922544631166,205.76749251176534
Aggressive tariffs / restrictions,0.2,2,-0.15870395570150747,341.6323480022885
Aggressive tariffs / restrictions,0.2,2,0.17320938252102347,476.1097958631223
No new measures,0.45,0,0.2365684704975685,507.2518263474151
No new measures,0.45,0,-0.04053911393954946,384.48316150050243
No new measures,0.45,0,-0.18674950061100468,332.1841912769559
Mild tariffs / tighter language,0.3,1,-0.013151701406151916,395.15868060532637
No new measures,0.45,0,-0.1944726291554581,329.6285714603138
Aggressive tariffs / restrictions,0.2,2,0.012468816434875532,405.4136586047041
Aggressive + retaliation,0.05,3,-0.06775975950427693,374.1584419140957
No new measures,0.45,0,0.10801795485464186,446.0616019936721
No new measures,0.45,0,-0.05541625037924016,378.80549150282485
Mild tariffs / tighter language,0.3,1,0.09761720576191295,441.4462702505962
No new measures,0.45,0,0.04235411989377149,417.71242971736535
No new measures,0.45,0,-0.07490709276395817,371.4937409344871
No new measures,0.45,0,-0.007787635904976201,397.2840328196007
Aggressive tariffs / restrictions,0.2,2,-0.06339868979783435,375.7937361848951
Mild tariffs / tighter language,0.3,1,0.1936188311641586,485.92677307050565
No new measures,0.45,0,-0.029006085354450047,388.94308557377906
No new measures,0.45,0,-0.07241841397908436,372.4194209085524
Aggressive tariffs / restrictions,0.2,2,0.17275749884258737,475.8946982204455
No new measures,0.45,0,0.15836365021204662,469.09380490331205
Aggressive tariffs / restrictions,0.2,2,-0.07902557375583519,369.96689732022685
Mild tariffs / tighter language,0.3,1,0.36939455196162624,579.3076367007855
Aggressive tariffs / restrictions,0.2,2,-0.1500759175806552,344.5927176503689
Aggressive tariffs / restrictions,0.2,2,0.13525973967649552,458.38014390148663
Aggressive tariffs / restrictions,0.2,2,0.39129067924383676,592.1321213463743
Mild tariffs / tighter language,0.3,1,-0.1048428105927312,360.5376170270407
Mild tariffs / tighter language,0.3,1,-0.0002130479548990269,400.30472146074686
No new measures,0.45,0,0.16718636331867942,473.25079596877885
Mild tariffs / tighter language,0.3,1,0.14921635053912324,464.82242885673486
Mild tariffs / tighter language,0.3,1,0.009223928366201636,404.10026871503425
Mild tariffs / tighter language,0.3,1,-0.1943576426040998,329.66647649221795
Mild tariffs / tighter language,0.3,1,0.11922792462020204,451.09007090002825
