scenario,p,severity,log_return,S_T
Mild tariffs / tighter language,0.3,1,-0.01711794595494509,393.5944886768592
No new measures,0.45,0,0.14331161389899585,462.0858621338803
No new measures,0.45,0,-0.07228422035555793,372.46940057351696
Mild tariffs / tighter language,0.3,1,-0.12434220010285094,353.5754531703732
No new measures,0.45,0,0.048352190673386496,420.2254274713925
Aggressive tariffs / restrictions,0.2,2,0.007264665906285041,403.3093053339517
No new measures,0.45,0,-0.007672908788404514,397.32961468583414
Mild tariffs / tighter language,0.3,1,0.11996602916186251,451.4231454368501
No new measures,0.45,0,-0.12246761211952914,354.2388831006927
Mild tariffs / tighter language,0.3,1,-0.23691268608100965,315.93181740771905
No new measures,0.45,0,0.01529400067110568,406.56064634508215
No new measures,0.45,0,-0.037254267025936476,385.7482064288486
Mild tariffs / tighter language,0.3,1,-0.0503475291127624,380.7304253086517
Mild tariffs / tighter language,0.3,1,-0.05902392170631855,377.44134796291803
Mild tariffs / tighter language,0.3,1,-0.037427720203727796,385.6813029790919
No new measures,0.45,0,0.01407440585483873,406.0651093269133
No new measures,0.45,0,0.06784591203820646,428.49755013966984
No new measures,0.45,0,-0.1745049714400823,336.2766341844237
No new measures,0.45,0,0.17015157898099414,474.6561692288604
No new measures,0.45,0,0.38233283365940834,586.8515796866621
No new measures,0.45,0,-0.04215940228592382,383.8606923404914
Mild tariffs / tighter language,0.3,1,0.22295164505927303,500.3914808406557
No new measures,0.45,0,-0.004047391488744778,398.7727545610725
No new measures,0.45,0,-0.028980788011157894,388.95292492499016
Aggressive tariffs / restrictions,0.2,2,-0.0017225156629860567,399.7009302266368
Aggressive tariffs / restrictions,0.2,2,-0.14750425248182417,345.48003516838804
Mild tariffs / tighter language,0.3,1,-0.00517202347729389,398.3245340539337
No new measures,0.45,0,-0.05711906709691884,378.1610040568728
Mild tariffs / tighter language,0.3,1,0.17210826659011547,475.58583230728556
No new measures,0.45,0,0.2733511691370554,526.2573111526242
Mild tariffs / tighter language,0.3,1,0.05189970023999005,421.7188285566135
Aggressive tariffs / restrictions,0.2,2,0.22185815137970322,499.84460497618943
Mild tariffs / tighter language,0.3,1,0.09241095742981481,439.15396367877554
Aggressive tariffs / restrictions,0.2,2,0.09412489116889139,439.907289864945
No new measures,0.45,0,0.025764096848864153,410.83973757229194
No new measures,0.45,0,0.13390639967938403,457.76021929786117
No new measures,0.45,0,0.1856776928378662,482.08324255113087
No new measures,0.45,0,0.1716088355078236,475.348369263482
No new measures,0.45,0,0.17970639077094488,479.21315549493005
Aggressive tariffs / restrictions,0.2,2,-0.018594911830447737,393.0135921360802
Mild tariffs / tighter language,0.3,1,-0.0034724288422575897,399.0020999255726
Aggressive tariffs / restrictions,0.2,2,-0.4666268548305851,251.09020420142144
Aggressive tariffs / restrictions,0.2,2,-0.07920299088552286,369.90126467757455
Mild tariffs / tighter language,0.3,1,0.12794151837320783,455.0378612660699
Aggressive tariffs / restrictions,0.2,2,-0.18255589501245423,333.58016579869155
No new measures,0.45,0,-0.08224194063782125,368.77885965095084
Aggressive tariffs / restrictions,0.2,2,-0.0626154665164531,376.08818188138264
Mild tariffs / tighter language,0.3,1,-0.044748710705564784,382.8680443084007
Mild tariffs / tighter language,0.3,1,-0.022703897774093207,391.40201804542687
Mild tariffs / tighter language,0.3,1,-0.03239350663223564,387.6278004599492
Aggressive tariffs / restrictions,0.2,2,-0.14758594774442946,345.45181223904564
Aggressive tariffs / restrictions,0.2,2,0.14225328676638205,461.5970828182143
No new measures,0.45,0,0.15732445057698669,468.60657600034483
No new measures,0.45,0,0.017675497589589903,407.53002309725014
No new measures,0.45,0,0.23581988680170418,506.87224799132395
Aggressive tariffs / restrictions,0.2,2,0.2709665637903995,525.0038902058269
No new measures,0.45,0,-0.03568301843479047,386.35478917608515
Mild tariffs / tighter language,0.3,1,-0.1001770049752132,362.2237459819854
No new measures,0.45,0,-0.06923051123305377,373.60855221355064
Aggressive tariffs / restrictions,0.2,2,-0.007965194358833189,397.2134979432083
Aggressive tariffs / restrictions,0.2,2,-0.19433127658912458,329.67516859806153
Mild tariffs / tighter language,0.3,1,0.03192935492288178,413.3804947453952
No new measures,0.45,0,0.05345409952990534,422.3748577378234
Aggressive tariffs / restrictions,0.2,2,-0.056696288909776765,378.32091608189194
No new measures,0.45,0,0.12243851470512165,452.54066359227755
Mild tariffs / tighter language,0.3,1,0.14660938116541655,463.61222918264207
Aggressive tariffs / restrictions,0.2,2,-0.07116762720961929,372.88552963346217
Mild tariffs / tighter language,0.3,1,-0.008946804768148874,396.8237803456248
Aggressive tariffs / restrictions,0.2,2,0.27547930014438987,527.3784481944452
No new measures,0.45,0,-0.13943677355318299,348.27846101538927
Mild tariffs / tighter language,0.3,1,-0.06833570572902779,373.94300881691134
